Date,Forecasted_Volume,Forecasted_Volume_Lower,Forecasted_Volume_Upper,Forecasted_Payout,Forecasted_Payout_Lower,Forecasted_Payout_Upper,Forecasted_Fraud_Cases,Forecasted_Fraud_Cases_Lower,Forecasted_Fraud_Cases_Upper
2025-12-22,1.42,0.0,3.31,262170.23,0.0,848115.55,0.19,0.0,1.03
2025-12-23,1.18,0.0,3.07,218288.93,0.0,804234.26,0.15,0.0,0.99
2025-12-24,1.27,0.0,3.16,228342.58,0.0,814297.86,0.15,0.0,0.99
2025-12-25,1.48,0.0,3.37,294431.15,0.0,880396.26,0.27,0.0,1.11
2025-12-26,1.33,0.0,3.22,241727.72,0.0,827702.69,0.24,0.0,1.08
2025-12-27,1.47,0.0,3.36,267799.12,0.0,853783.92,0.25,0.0,1.1
2025-12-28,1.33,0.0,3.22,265027.01,0.0,851021.66,0.19,0.0,1.03
2025-12-29,1.41,0.0,3.3,260486.99,0.0,846505.4,0.18,0.0,1.02
2025-12-30,1.18,0.0,3.07,216578.77,0.0,802607.02,0.15,0.0,0.99
2025-12-31,1.27,0.0,3.16,230011.91,0.0,816050.07,0.15,0.0,0.99
2026-01-01,1.48,0.0,3.37,298905.15,0.0,884953.2,0.27,0.0,1.12
2026-01-02,1.33,0.0,3.22,241144.6,0.0,827202.57,0.23,0.0,1.08
2026-01-03,1.47,0.0,3.37,266673.85,0.0,852741.72,0.25,0.0,1.09
2026-01-04,1.33,0.0,3.22,270645.1,0.0,856722.88,0.2,0.0,1.04
2026-01-05,1.41,0.0,3.3,260750.64,0.0,847017.05,0.18,0.0,1.02
2026-01-06,1.18,0.0,3.07,216842.86,0.0,803119.2,0.15,0.0,0.99
2026-01-07,1.27,0.0,3.16,230220.57,0.0,816507.2,0.15,0.0,0.99
2026-01-08,1.48,0.0,3.37,299067.8,0.0,885364.71,0.27,0.0,1.12
2026-01-09,1.33,0.0,3.22,241390.21,0.0,827697.42,0.23,0.0,1.08
2026-01-10,1.47,0.0,3.36,266928.34,0.0,853245.85,0.25,0.0,1.09
2026-01-11,1.33,0.0,3.22,270788.99,0.0,857116.78,0.2,0.0,1.04
2026-01-12,1.41,0.0,3.3,260982.36,0.0,847496.41,0.18,0.0,1.02
2026-01-13,1.18,0.0,3.07,217074.57,0.0,803598.94,0.15,0.0,0.99
2026-01-14,1.27,0.0,3.16,230453.19,0.0,816988.23,0.15,0.0,0.99
2026-01-15,1.48,0.0,3.37,299301.17,0.0,885846.89,0.27,0.0,1.12
2026-01-16,1.33,0.0,3.22,241622.22,0.0,828178.63,0.23,0.0,1.08
2026-01-17,1.47,0.0,3.36,267160.21,0.0,853727.3,0.25,0.0,1.09
2026-01-18,1.33,0.0,3.22,271022.67,0.0,857600.43,0.2,0.0,1.04
2026-01-19,1.41,0.0,3.3,261214.6,0.0,847980.26,0.18,0.0,1.02
2026-01-20,1.18,0.0,3.07,217306.81,0.0,804083.18,0.14,0.0,0.99
2026-01-21,1.27,0.0,3.16,230685.42,0.0,817472.85,0.15,0.0,0.99
2026-01-22,1.48,0.0,3.37,299533.38,0.0,886331.89,0.27,0.0,1.12
2026-01-23,1.33,0.0,3.22,241854.45,0.0,828664.05,0.23,0.0,1.08
2026-01-24,1.47,0.0,3.36,267392.45,0.0,854213.12,0.25,0.0,1.09
2026-01-25,1.33,0.0,3.22,271254.88,0.0,858086.62,0.2,0.0,1.04
2026-01-26,1.41,0.0,3.3,261446.83,0.0,848468.05,0.18,0.0,1.02
2026-01-27,1.18,0.0,3.07,217539.04,0.0,804571.36,0.14,0.0,0.99
2026-01-28,1.27,0.0,3.16,230917.65,0.0,817961.44,0.15,0.0,0.99
2026-01-29,1.48,0.0,3.37,299765.62,0.0,886820.88,0.27,0.0,1.12
2026-01-30,1.33,0.0,3.22,242086.68,0.0,829153.44,0.23,0.0,1.08
2026-01-31,1.47,0.0,3.36,267624.68,0.0,854702.91,0.25,0.0,1.09
2026-02-01,1.33,0.0,3.22,271487.11,0.0,858576.81,0.2,0.0,1.04
2026-02-02,1.41,0.0,3.3,261679.06,0.0,848959.83,0.18,0.0,1.02
2026-02-03,1.18,0.0,3.07,217771.27,0.0,805063.54,0.14,0.0,0.99
2026-02-04,1.27,0.0,3.16,231149.88,0.0,818454.03,0.15,0.0,0.99
2026-02-05,1.48,0.0,3.37,299997.85,0.0,887313.87,0.27,0.0,1.11
